date,time,load_act
20240720,1700,4472
20240720,1800,4349
20240720,1900,4210
20240720,2000,3982
20240720,2100,3724
20240720,2200,3492
20240720,2300,3240
20240721,0,2970
20240721,100,2775
20240721,200,2667
20240721,300,2637
20240721,400,2620
20240721,500,2596
20240721,600,2671
20240721,700,2934
20240721,800,3334
20240721,900,3766
20240721,1000,4026
20240721,1100,4163
20240721,1200,4300
20240721,1300,4282
20240721,1400,4275
20240721,1500,4243
20240721,1600,4207
20240721,1700,4181
20240721,1800,4106
20240721,1900,4030
20240721,2000,3854
20240721,2100,3650
20240721,2200,3442
20240721,2300,3219
20240722,0,2963
20240722,100,2765
20240722,200,2670
20240722,300,2654
20240722,400,2658
20240722,500,2741
20240722,600,3055
20240722,700,3635
20240722,800,4370
20240722,900,4935
20240722,1000,5192
20240722,1100,5351
20240722,1200,5355
20240722,1300,5537
20240722,1400,5490
20240722,1500,5334
20240722,1600,5204
20240722,1700,4994
20240722,1800,4834
20240722,1900,4692
20240722,2000,4414
20240722,2100,4014
20240722,2200,3730
20240722,2300,3444
20240723,0,3121
20240723,100,2901
20240723,200,2787
20240723,300,2751
20240723,400,2744
20240723,500,2808
20240723,600,3084
20240723,700,3607
20240723,800,4324
20240723,900,4889
20240723,1000,5124
20240723,1100,5279
20240723,1200,5272
20240723,1300,5416
20240723,1400,5462
20240723,1500,5440
20240723,1600,5386
20240723,1700,5182
20240723,1800,4949
20240723,1900,4764
20240723,2000,4513
20240723,2100,4238
20240723,2200,3972
20240723,2300,3679
20240724,0,3344
20240724,100,3105
20240724,200,2979
20240724,300,2934
20240724,400,2922
20240724,500,2967
20240724,600,3267
20240724,700,3839
20240724,800,4578
20240724,900,5131
20240724,1000,5311
20240724,1100,5433
20240724,1200,5268
20240724,1300,4941
20240724,1400,4725
20240724,1500,4804
20240724,1600,4927
20240724,1700,4757
20240724,1800,4627
20240724,1900,4506
20240724,2000,4269
20240724,2100,4018
20240724,2200,3788
20240724,2300,3534
20240725,0,3208
20240725,100,2994
20240725,200,2883
20240725,300,2852
20240725,400,2842
20240725,500,2863
20240725,600,3093
20240725,700,3584
20240725,800,4270
20240725,900,4836
20240725,1000,5120
20240725,1100,5249
20240725,1200,5238
20240725,1300,5427
20240725,1400,5470
20240725,1500,5399
20240725,1600,5261
20240725,1700,4934
20240725,1800,4699
20240725,1900,4461
20240725,2000,4205
20240725,2100,3950
20240725,2200,3707
20240725,2300,3447
20240726,0,3140
20240726,100,2933
20240726,200,2828
20240726,300,2788
20240726,400,2786
20240726,500,2828
20240726,600,3076
20240726,700,3572
20240726,800,4234
20240726,900,4822
20240726,1000,5136
20240726,1100,5282
20240726,1200,5310
20240726,1300,5390
20240726,1400,5415
20240726,1500,5320
20240726,1600,5192
20240726,1700,4935
20240726,1800,4755
20240726,1900,4574
20240726,2000,4257
20240726,2100,3919
20240726,2200,3679
20240726,2300,3431
20240727,0,3152
20240727,100,2945
20240727,200,2834
20240727,300,2799
20240727,400,2777
20240727,500,2771
20240727,600,2870
20240727,700,3166
20240727,800,3581
20240727,900,4089
20240727,1000,4361
20240727,1100,4580
20240727,1200,4676
20240727,1300,4753
20240727,1400,4735
20240727,1500,4627
20240727,1600,4483
20240727,1700,4321
20240727,1800,4240
20240727,1900,4132
20240727,2000,3937
20240727,2100,3722
20240727,2200,3534
20240727,2300,3323
20240728,0,3056
20240728,100,2843
20240728,200,2728
20240728,300,2679
20240728,400,2665
20240728,500,2666
20240728,600,2801
20240728,700,3110
20240728,800,3540
20240728,900,3945
20240728,1000,4187
20240728,1100,4296
20240728,1200,4408
20240728,1300,4471
20240728,1400,4475
20240728,1500,4489
20240728,1600,4451
20240728,1700,4409
20240728,1800,4388
20240728,1900,4349
20240728,2000,4185
20240728,2100,3982
20240728,2200,3763
20240728,2300,3519
20240729,0,3231
20240729,100,3006
20240729,200,2879
20240729,300,2830
20240729,400,2836
20240729,500,2909
20240729,600,3221
20240729,700,3792
20240729,800,4587
20240729,900,5190
20240729,1000,5430
20240729,1100,5567
20240729,1200,5526
20240729,1300,5676
20240729,1400,5699
20240729,1500,5555
20240729,1600,5424
20240729,1700,5136
20240729,1800,4926
20240729,1900,4790
20240729,2000,4548
20240729,2100,4293
20240729,2200,4057
20240729,2300,3777
20240730,0,3451
20240730,100,3226
20240730,200,3080
20240730,300,3023
20240730,400,3002
20240730,500,3074
20240730,600,3389
20240730,700,4006
20240730,800,4787
20240730,900,5169
20240730,1000,5210
20240730,1100,5435
20240730,1200,5461
20240730,1300,5471
20240730,1400,5241
20240730,1500,5018
20240730,1600,4852
20240730,1700,4666
20240730,1800,4554
20240730,1900,4448
20240730,2000,4256
20240730,2100,4027
20240730,2200,3822
20240730,2300,3579
20240731,0,3283
20240731,100,3072
20240731,200,2963
20240731,300,2906
20240731,400,2895
20240731,500,2953
20240731,600,3197
20240731,700,3713
20240731,800,4400
20240731,900,4878
20240731,1000,5076
20240731,1100,5115
20240731,1200,5135
20240731,1300,5285
20240731,1400,5259
20240731,1500,5202
20240731,1600,5092
20240731,1700,4771
20240731,1800,4521
20240731,1900,4319
20240731,2000,4118
20240731,2100,3902
20240731,2200,3686
20240731,2300,3445
20240801,0,3144
20240801,100,2937
20240801,200,2823
20240801,300,2780
20240801,400,2768
20240801,500,2806
20240801,600,3035
20240801,700,3491
20240801,800,4090
20240801,900,4596
20240801,1000,4850
20240801,1100,4982
20240801,1200,4925
20240801,1300,5015
20240801,1400,5021
20240801,1500,4988
20240801,1600,4937
20240801,1700,4733
20240801,1800,4550
20240801,1900,4392
20240801,2000,4144
20240801,2100,3887
20240801,2200,3669
20240801,2300,3425
20240802,0,3129
20240802,100,2917
20240802,200,2803
20240802,300,2774
20240802,400,2779
20240802,500,2828
20240802,600,3050
20240802,700,3512
20240802,800,4112
20240802,900,4597
20240802,1000,4819
20240802,1100,4964
20240802,1200,4972
20240802,1300,5101
20240802,1400,5137
20240802,1500,5115
20240802,1600,5072
20240802,1700,4847
20240802,1800,4624
20240802,1900,4422
20240802,2000,4164
20240802,2100,3895
20240802,2200,3689
20240802,2300,3455
20240803,0,3170
20240803,100,2959
20240803,200,2831
20240803,300,2781
20240803,400,2755
20240803,500,2744
20240803,600,2845
20240803,700,3110
